العام,صادرات السلع غير النفطية,واردات السلع,الميزان التجاري,الميزان التجاري باللوغاريتم,صادرات االخدمات,واردات الخدمات,الزراعة ـ الغابات ـ والاسماك,التعدين والتحجير,مجموع الموارد الطبيعية,الناتج المحلي الإجمالي,النمو الاقتصادي,Real GDP per Capita (log)
1970,118.8,3197.0,-3078.2,3.488296834, -, -,6389.41758047098,354503.990321163,360893.4079,484432.797085773,,13.090733994987113
1971,31.0,3668.0,-3637.0,3.560743301, -, -,6641.33507757896,444312.042974749,450953.3781,583800.702419805,0.2051221675,13.277314940587116
1972,63.0,4708.0,-4645.0,3.666985718, -, -,7018.86454227536,561527.069411223,568545.934,717669.941262932,0.2293064025,13.483765050505323
1973,98.0,7310.0,-7212.0,3.858055718, -, -,7419.03193358857,708565.009265144,715984.0412,891134.559220394,0.2417052854,13.700250715499882
1974,283.0,10149.0,-9866.0,3.994141111, -, -,7775.81028661027,792710.217798605,800486.0281,1035748.45714959,0.1622806527,13.850634870341233
1975,418.0,14823.0,-14405.0,4.158513263, -, -,8304.5470662676,649546.984013027,657851.5311,943270.472144958,-0.08928614314,13.757108341428783
1976,428.0,30691.0,-30263.0,4.480911978, -, -,8942.15856510919,806355.511777754,815297.6703,1111370.45959594,0.178209742,13.921104460021722
1977,431.0,51662.0,-51231.0,4.709532833, -, -,13799.2947668602,863425.465100521,877224.7599,1190203.96611107,0.07093359899,13.98963525049373
1978,490.0,69180.0,-68690.0,4.836893516, -, -,12130.6205556262,781780.14338737,793910.7639,1128078.57944659,-0.05219726067,13.936026371243768
1979,504.0,82223.0,-81719.0,4.912323044, -, -,10547.7697648419,898248.729314777,908796.4991,1262539.13362934,0.1191943156,14.048635436585387
1980,519.0,100350.0,-99831.0,4.999265421, -, -,11907.2235140787,940077.956454849,951985.18,1333903.62285887,0.05652457601,14.103620256115304
1981,2954.0,119298.0,-116344.0,5.065743991, -, -,12452.2539141258,930480.670283387,942932.9242,1359821.4297183,0.01943004458,14.122863947413695
1982,3278.0,139335.0,-136057.0,5.133720891, -, -,13410.0480506933,622184.526457683,635594.5745,1077931.96611525,-0.2072988831,13.89055491724914
1983,3565.0,135417.0,-131852.0,5.120086722, -, -,14598.0509686509,437655.17126728,452253.2222,904908.943115445,-0.1605138621,13.71558960227795
1984,4450.0,118737.0,-114287.0,5.057996833, -, -,17417.938123335,397262.789168936,414680.7273,862727.047762314,-0.04661451926,13.66785363702748
1985,5601.0,85563.6,-79962.6,4.902886907, -, -,20610.5991622428,310610.691994608,331221.2912,778227.22753094,-0.09794502265,13.56477382675263
1986,7864.0,70779.6,-62915.6,4.798758343, -, -,23704.142862308,458889.346344306,482593.4892,910625.051070502,0.1701274626,13.721886512014517
1987,10379.0,75312.2,-64933.2,4.812466806, -, -,27614.3432916353,399712.678128755,427327.0214,850227.880846994,-0.06632496015,13.653259687649536
1988,15620.0,81606.2,-65986.2,4.819453119, -, -,30631.691438907,497188.311974806,527820.0034,961686.914445241,0.1310931294,13.776444223916975
1989,16005.0,79277.2,-63272.2,4.801212935, -, -,32798.7865668616,490367.286438231,523166.073,956849.476536324,-0.005030158814,13.771401371268327
1990,16056.0,90282.0,-74226.0,4.870556057, -, -,33733.2196012795,620399.367843862,654132.5874,1102227.69263377,0.1519342589,13.912843864987513
1991,15317.0,108934.0,-93617.0,4.97135472, -, -,34733.1971851638,780836.426732352,815569.6239,1267648.70484857,0.1500788025,14.052674328945402
1992,14082.0,124605.9,-110523.9,5.043456201, -, -,36827.5864851905,804477.006161312,841304.5926,1318196.70609218,0.03987540164,14.091775228805478
1993,14134.0,105616.3,-91482.3,4.961337075, -, -,38117.2552779699,776932.14484762,815049.4001,1300219.91145566,-0.01363741432,14.078043970783575
1994,16761.0,87193.0,-70432.0,4.847770021, -, -,37278.9841873502,779488.620498003,816767.6047,1307484.50261427,0.005587201899,14.083615622165901
1995,24320.0,105187.0,-80867.0,4.907771332, -, -,37814.5573792745,779470.696655947,817285.254,1310257.56408082,0.002120913449,14.085734289653526
1996,24181.0,103979.0,-79798.0,4.901992007, -, -,37613.4001798317,788983.175221212,826596.5754,1344814.61435928,0.02637424215,14.111766728328083
1997,27672.0,107643.0,-79971.0,4.902932527, -, -,38928.3903559912,780219.360371006,819147.7507,1359658.43670898,0.01103782052,14.122744076690232
1998,23416.0,112397.0,-88981.0,4.949297282, -, -,39344.353246477,804992.871726366,844337.225,1398998.28432865,0.02893362521,14.151267027291363
1999,21786.0,104980.0,-83194.0,4.920092006, -, -,40181.1657909366,737511.039937974,777692.2057,1346349.98869313,-0.03763285218,14.112907776704459
2000,24805.0,113240.0,-88435.0,4.94662418, -, -,41782.4237106112,790846.124093779,832628.5478,1422087.7783378,0.05625416146,14.16763661622907
2001,30693.0,116931.0,-86238.0,4.935698676, -, -,41900.0968699686,758021.462487111,799921.5594,1404869.93775793,-0.01210743868,14.155455285474227
2002,32436.0,121089.0,-88653.0,4.947693437, -, -,42404.425038753,700347.892924654,742752.318,1365264.20408239,-0.02819174403,14.126858523975946
2003,41148.0,156391.0,-115243.0,5.061614555, -, -,42780.6602015498,825900.810130987,868681.4703,1518748.04397839,0.1124206139,14.233396898154703
2004,57186.0,177659.0,-120473.0,5.080889725, -, -,44264.160680258,882976.834279358,927240.995,1639616.72110833,0.07958441666,14.309973065845465
2005,71263.0,204573.4,-133310.4,5.124864032,42754,124105.4,44615.8337925856,921332.192869178,965948.0267,1731006.49971317,0.05573850122,14.364213589040476
2006,85527.0,239359.32660550455,-153832.3266,5.187047608,53184.6815356,185679.78019172227,45114.2387408476,908380.239218322,953494.478,1779273.92345104,0.02788402224,14.391715930877526
2007,104470.0,309533.953294412,-205063.9533,5.311889326,61476.7466782,236462.2645,45986.7166676209,872236.600767819,918223.3174,1812139.43040897,0.01847130255,14.410018710974011
2008,121692.0,380451.04,-258759.04,5.412895531,35149.181,282116.2348,46561.8843369218,911747.681851402,958309.5662,1925394.02676176,0.06249772752,14.470641193984928
2009,109662.0,326540.89999999997,-216878.9,5.336217302,36560.0515,281217.65800000005,47147.9621267128,821210.913089081,868358.8752,1885745.36587973,-0.02059249189,14.449833720271378
2010,134609.000031,365366.76000000007,-230757.76,5.363156314,40081.9,287895.262,51877.9247185295,820990.258108039,872868.1828,1980777.36948702,0.05039492888,14.498999936471275
2011,176568.99999999997,449852.58999999997,-273283.59,5.436613554,43220.792,292562.30175000004,54592.3732740593,929688.500100626,984280.8734,2198539.31187484,0.1099376163,14.603303748668898
2012,190952.0,531746.8300000001,-340794.83,5.532492998,41436.9555,275276.2395294118,56314.9199171996,977508.317084908,1033823.237,2317862.70842577,0.05427394266,14.656156072666056
2013,202549.0,575038.62,-372489.62,5.571114175,44417.4395,287443.9984117647,58841.1071705707,963585.746792121,1022426.854,2383929.7456778,0.02850342991,14.684260837638272
2014,217122.30000000002,594232.432472,-377110.1325,5.576468202,46936.0631,377043.5138158118,61854.9953802261,972682.627941855,1034537.623,2479946.1210461,0.04027651215,14.723747392520528
2015,189850.0,597266.754,-407416.754,5.610038884,54276.980208500005,330135.44149999996,64716.7942631603,1018389.95231764,1083106.747,2596259.19186392,0.04690145073,14.76958219460487
2016,177799.0,479412.76,-301613.76,5.479451151,64697.283039819995,263500.56574300997,68128.9919398332,1046634.92972406,1114763.922,2657610.73283899,0.02363074579,14.79293805637869
2017,193578.627838,462752.42123066995,-269173.7934,5.430032775,67993.6524,294656.45404261537,71150.7477502236,1009895.58267473,1081046.33,2655758.43089558,-0.0006969801561,14.792240833219008
2018,235510.0,471141.44,-235631.44,5.372233237,76985.1831729,314818.7861352923,72778.8824201415,1038842.235204,1111621.118,2729116.95183761,0.02762243738,14.81948865397105
2019,229236.23463700002,526054.32368964,-296818.0891,5.472490365,90910.346347,294973.85318578116,74407.18367025,1004865.38716621,1079272.571,2751830.85532396,0.008322803268,14.82777701369152
2020,204392.0,472199.11,-267807.11,5.427822103,33689.94411914005,210989.7946677541,73172.8008601338,944571.955592745,1017744.756,2632363.20965171,-0.04341387678,14.783392559494589
2021,277620.0,524005.60799999995,-246385.608,5.391615336,38637.03399290329,274803.79530828196,75109.3081359959,934099.22759108,1009208.536,2735597.23255035,0.03921724119,14.82186033656291
2022,315775.0,659956.9471431855,-344181.9471,5.536788087,119597.37385471081,310502.7598182502,78044.4835774137,1083234.17193224,1161278.656,2974802.0572174,0.08744153628,14.90568805935918
